Job ID	Agency	Posting Type	Full-Time/Part-Time indicator	Career Level	Salary Range From	Salary Range To	Salary Frequency	Posting Date
606784	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Experienced (non-manager)	65232.0	151810.0	Annual	11/27/2023
607709	DEPT OF HEALTH/MENTAL HYGIENE	Internal	Full-Time	Experienced (non-manager)	64932.0	101359.0	Annual	05/07/2024
641952	DEPT OF DESIGN & CONSTRUCTION	External	Full-Time	Experienced (non-manager)	58682.0	118820.0	Annual	07/11/2024
633209	DEPT OF DESIGN & CONSTRUCTION	Internal	Full-Time	Experienced (non-manager)	75000.0	120200.0	Annual	04/17/2024
585493	DEPARTMENT OF TRANSPORTATION	External	Full-Time	Experienced (non-manager)	84451.0	113550.0	Annual	05/08/2023
638904	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Experienced (non-manager)	98470.0	133496.0	Annual	07/30/2024
539902	BRONX DISTRICT ATTORNEY	External	Full-Time	Experienced (non-manager)	44083.0	44083.0	Annual	07/12/2022
637630	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Experienced (non-manager)	62370.0	93587.0	Annual	06/13/2024
622788	HRA/DEPT OF SOCIAL SERVICES	Internal	Full-Time	Experienced (non-manager)	64922.0	173486.0	Annual	05/07/2024
624844	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Experienced (non-manager)	58682.0	159671.0	Annual	02/22/2024
626699	DEPARTMENT OF TRANSPORTATION	External	Full-Time	Experienced (non-manager)	31.7329	46.1281	Hourly	02/18/2024
643006	TECHNOLOGY & INNOVATION	External	Full-Time	Experienced (non-manager)	75000.0	155000.0	Annual	07/23/2024
640147	CONSUMER AND WORKER PROTECTION	Internal	Full-Time	Experienced (non-manager)	51130.0	58799.0	Annual	07/03/2024
644624	HRA/DEPT OF SOCIAL SERVICES	External	Full-Time	Experienced (non-manager)	75410.0	86721.0	Annual	08/09/2024
633238	DEPT OF HEALTH/MENTAL HYGIENE	External	Full-Time	Experienced (non-manager)	60265.0	68099.0	Annual	04/16/2024
638762	DEPT OF DESIGN & CONSTRUCTION	External	Full-Time	Experienced (non-manager)	81571.0	93807.0	Annual	06/21/2024
633936	DEPT OF HEALTH/MENTAL HYGIENE	Internal	Full-Time	Experienced (non-manager)	82506.0	94882.0	Annual	04/19/2024
639903	NYC HOUSING AUTHORITY	External	Full-Time	Executive	81083.0	160000.0	Annual	07/08/2024
628805	POLICE DEPARTMENT	Internal	Full-Time	Experienced (non-manager)	69090.0	105477.0	Annual	05/01/2024
643821	TAX COMMISSION	External	Full-Time	Manager	91090.0	235036.0	Annual	08/09/2024
626925	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Experienced (non-manager)	67.72	67.72	Hourly	03/18/2024
645590	LAW DEPARTMENT	External	Part-Time	Experienced (non-manager)	37.3629	42.9672	Hourly	08/08/2024
633695	BOROUGH PRESIDENT-BRONX	External	Full-Time	Experienced (non-manager)	64142.0	176512.0	Annual	04/23/2024
629798	BRONX DISTRICT ATTORNEY	Internal	Full-Time	Experienced (non-manager)	68035.0	68035.0	Annual	03/12/2024
602498	DEPT OF DESIGN & CONSTRUCTION	Internal	Full-Time	Experienced (non-manager)	58682.0	108150.0	Annual	12/12/2023
623520	DEPT OF HEALTH/MENTAL HYGIENE	External	Full-Time	Experienced (non-manager)	62384.0	95000.0	Annual	01/17/2024
633803	DEPT OF DESIGN & CONSTRUCTION	Internal	Full-Time	Experienced (non-manager)	59116.0	90050.0	Annual	04/18/2024
637905	DEPT OF HEALTH/MENTAL HYGIENE	Internal	Part-Time	Experienced (non-manager)	79.23	84.86	Hourly	06/14/2024
629478	HRA/DEPT OF SOCIAL SERVICES	Internal	Full-Time	Experienced (non-manager)	108071.0	124282.0	Annual	03/08/2024
642680	HRA/DEPT OF SOCIAL SERVICES	External	Full-Time	Experienced (non-manager)	39147.0	44236.0	Annual	07/17/2024
544512	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Manager	64922.0	173486.0	Annual	08/09/2022
644812	DEPT OF PARKS & RECREATION	External	Full-Time	Experienced (non-manager)	60889.0	94521.0	Annual	08/02/2024
591443	DEPT OF DESIGN & CONSTRUCTION	Internal	Full-Time	Experienced (non-manager)	81571.0	93807.0	Annual	08/03/2023
632504	DEPARTMENT OF SANITATION	Internal	Full-Time	Executive	170000.0	195000.0	Annual	04/04/2024
644997	HRA/DEPT OF SOCIAL SERVICES	External	Full-Time	Experienced (non-manager)	51816.0	59588.0	Annual	08/07/2024
639120	OFFICE OF MANAGEMENT & BUDGET	External	Full-Time	Entry-Level	74893.0	84257.0	Annual	06/21/2024
639355	CAMPAIGN FINANCE BOARD	Internal	Full-Time	Experienced (non-manager)	80000.0	90000.0	Annual	06/26/2024
565224	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Entry-Level	65640.0	65640.0	Annual	12/20/2022
642541	DEPT OF HEALTH/MENTAL HYGIENE	External	Full-Time	Experienced (non-manager)	111778.0	150000.0	Annual	07/17/2024
556406	HRA/DEPT OF SOCIAL SERVICES	External	Full-Time	Experienced (non-manager)	94715.0	102000.0	Annual	10/31/2023
580571	DEPARTMENT OF TRANSPORTATION	Internal	Full-Time	Experienced (non-manager)	375.06	375.06	Daily	03/30/2023
605651	DEPARTMENT OF TRANSPORTATION	External	Full-Time	Experienced (non-manager)	75000.0	180000.0	Annual	09/19/2023
627977	ADMIN TRIALS AND HEARINGS	Internal	Part-Time	Experienced (non-manager)	55.39	57.99	Hourly	04/09/2024
556490	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Executive	80931.0	208826.0	Annual	10/25/2022
627260	DEPT. OF HOMELESS SERVICES	External	Full-Time	Entry-Level	41887.0	48177.0	Annual	02/22/2024
615118	DEPT OF HEALTH/MENTAL HYGIENE	External	Full-Time	Experienced (non-manager)	82506.0	82506.0	Annual	03/12/2024
626961	DEPT OF HEALTH/MENTAL HYGIENE	Internal	Full-Time	Experienced (non-manager)	97012.0	97012.0	Annual	02/14/2024
639113	DEPARTMENT FOR THE AGING	External	Full-Time	Experienced (non-manager)	65709.0	75565.0	Annual	07/02/2024
581036	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Experienced (non-manager)	85371.0	109990.0	Annual	04/08/2023
636344	DEPT OF HEALTH/MENTAL HYGIENE	Internal	Full-Time	Experienced (non-manager)	75000.0	95000.0	Annual	05/16/2024
642853	HRA/DEPT OF SOCIAL SERVICES	Internal	Full-Time	Experienced (non-manager)	57550.0	66182.0	Annual	07/18/2024
538160	DEPARTMENT OF CORRECTION	Internal	Full-Time	Experienced (non-manager)	63228.0	72712.0	Annual	07/01/2022
633238	DEPT OF HEALTH/MENTAL HYGIENE	Internal	Full-Time	Experienced (non-manager)	60265.0	68099.0	Annual	04/16/2024
623636	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Experienced (non-manager)	60010.0	100875.0	Annual	02/16/2024
633648	DEPT OF HEALTH/MENTAL HYGIENE	Internal	Full-Time	Experienced (non-manager)	68183.0	70288.0	Annual	04/17/2024
629972	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Manager	97187.0	220000.0	Annual	03/20/2024
637899	DISTRICT ATTORNEY-MANHATTAN	External	Full-Time	Experienced (non-manager)	72779.0	76767.0	Annual	06/10/2024
621129	HRA/DEPT OF SOCIAL SERVICES	External	Full-Time	Experienced (non-manager)	56677.0	65179.0	Annual	12/22/2023
589982	DEPT OF DESIGN & CONSTRUCTION	External	Full-Time	Experienced (non-manager)	59116.0	79568.0	Annual	06/21/2023
599765	DEPT OF DESIGN & CONSTRUCTION	Internal	Full-Time	Experienced (non-manager)	56181.0	64608.0	Annual	10/10/2023
621684	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Experienced (non-manager)	57839.0	84705.0	Annual	01/22/2024
645831	DEPT OF DESIGN & CONSTRUCTION	External	Full-Time	Manager	91090.0	142700.0	Annual	08/09/2024
539278	BRONX DISTRICT ATTORNEY	Internal	Full-Time	Experienced (non-manager)	120000.0	167610.0	Annual	07/11/2022
539278	BRONX DISTRICT ATTORNEY	Internal	Full-Time	Experienced (non-manager)	120000.0	167610.0	Annual	07/11/2022
584331	DEPT. OF HOMELESS SERVICES	External	Full-Time	Executive	175000.0	187991.0	Annual	04/26/2023
527784	NYC HOUSING AUTHORITY	External	Full-Time	Experienced (non-manager)	62.88	62.88	Hourly	04/13/2022
617056	OFFICE OF THE COMPTROLLER	External	Full-Time	Experienced (non-manager)	95000.0	105000.0	Annual	11/21/2023
638495	DEPT OF HEALTH/MENTAL HYGIENE	Internal	Full-Time	Experienced (non-manager)	71985.0	82783.0	Annual	06/17/2024
619685	DEPT OF DESIGN & CONSTRUCTION	External	Full-Time	Experienced (non-manager)	58682.0	85646.0	Annual	12/15/2023
639165	HRA/DEPT OF SOCIAL SERVICES	Internal	Full-Time	Experienced (non-manager)	58377.0	67134.0	Annual	06/24/2024
628434	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Experienced (non-manager)	88026.0	122295.0	Annual	04/30/2024
633270	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Entry-Level	56181.0	68034.0	Annual	04/29/2024
632674	DEPT OF DESIGN & CONSTRUCTION	Internal	Full-Time	Experienced (non-manager)	58682.0	106450.0	Annual	04/12/2024
645512	HOUSING PRESERVATION & DVLPMNT	Internal	Full-Time	Manager	125000.0	125000.0	Annual	08/07/2024
582502	DEPARTMENT OF TRANSPORTATION	External	Full-Time	Student	15.0	17.5	Hourly	04/12/2023
639673	HRA/DEPT OF SOCIAL SERVICES	Internal	Full-Time	Experienced (non-manager)	66114.0	66114.0	Annual	06/28/2024
629075	DEPARTMENT OF TRANSPORTATION	Internal	Full-Time	Experienced (non-manager)	58682.0	159671.0	Annual	03/07/2024
540307	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Manager	64922.0	123436.0	Annual	07/25/2022
629461	DEPARTMENT OF TRANSPORTATION	External	Full-Time	Experienced (non-manager)	453.39	453.39	Daily	05/08/2024
640156	DEPT OF DESIGN & CONSTRUCTION	External	Full-Time	Manager	91090.0	186763.0	Annual	07/08/2024
545827	HRA/DEPT OF SOCIAL SERVICES	External	Full-Time	Manager	77688.0	152000.0	Annual	08/15/2022
645764	DEPARTMENT OF TRANSPORTATION	External	Full-Time	Experienced (non-manager)	111778.0	178674.0	Annual	08/08/2024
630795	DEPARTMENT OF TRANSPORTATION	Internal	Full-Time	Experienced (non-manager)	59116.0	91768.0	Annual	03/21/2024
637324	HRA/DEPT OF SOCIAL SERVICES	Internal	Full-Time	Experienced (non-manager)	52438.0	59255.0	Annual	05/30/2024
623022	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Experienced (non-manager)	88026.0	122295.0	Annual	02/19/2024
635148	DEPARTMENT OF TRANSPORTATION	Internal	Full-Time	Experienced (non-manager)	71281.0	165887.0	Annual	05/16/2024
631187	DEPT OF HEALTH/MENTAL HYGIENE	Internal	Full-Time	Experienced (non-manager)	53750.0	62121.0	Annual	03/26/2024
618710	HRA/DEPT OF SOCIAL SERVICES	Internal	Full-Time	Experienced (non-manager)	45329.0	77633.0	Annual	01/29/2024
552763	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Experienced (non-manager)	74650.0	109409.0	Annual	09/29/2022
634835	DEPARTMENT OF TRANSPORTATION	Internal	Part-Time	Student	15.5	19.9	Hourly	06/29/2024
645125	DEPT OF DESIGN & CONSTRUCTION	Internal	Full-Time	Experienced (non-manager)	64242.0	73878.0	Annual	08/12/2024
629422	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Entry-Level	57839.0	84705.0	Annual	04/02/2024
638698	DEPARTMENT OF CITY PLANNING	Internal	Full-Time	Experienced (non-manager)	73393.0	84401.0	Annual	06/20/2024
633030	HRA/DEPT OF SOCIAL SERVICES	Internal	Full-Time	Experienced (non-manager)	64137.0	73758.0	Annual	04/10/2024
628730	DEPT OF HEALTH/MENTAL HYGIENE	External	Full-Time	Experienced (non-manager)	45697.0	59308.0	Annual	03/04/2024
633460	DEPT. OF HOMELESS SERVICES	External	Full-Time	Experienced (non-manager)	59116.0	91768.0	Annual	04/26/2024
629168	DEPT OF DESIGN & CONSTRUCTION	External	Full-Time	Experienced (non-manager)	61206.0	94223.0	Annual	03/08/2024
626580	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Experienced (non-manager)	74041.0	107227.0	Annual	04/30/2024
642899	HOUSING PRESERVATION & DVLPMNT	Internal	Full-Time	Experienced (non-manager)	74041.0	85147.0	Annual	07/22/2024
636684	DEPT OF DESIGN & CONSTRUCTION	Internal	Full-Time	Manager	78745.0	103000.0	Annual	06/12/2024
636846	DEPT OF DESIGN & CONSTRUCTION	Internal	Full-Time	Manager	88437.0	133327.0	Annual	06/11/2024
638363	CONSUMER AND WORKER PROTECTION	Internal	Full-Time	Experienced (non-manager)	62370.0	71726.0	Annual	06/18/2024
633460	DEPT. OF HOMELESS SERVICES	Internal	Full-Time	Experienced (non-manager)	59116.0	91768.0	Annual	04/26/2024
634011	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Experienced (non-manager)	82506.0	94882.0	Annual	04/29/2024
524852	DEPARTMENT OF CORRECTION	Internal	Full-Time	Experienced (non-manager)	79620.0	91563.0	Annual	03/17/2022
625420	DEPT OF HEALTH/MENTAL HYGIENE	External	Full-Time	Experienced (non-manager)	58700.0	110000.0	Annual	02/13/2024
637512	OFFICE OF MANAGEMENT & BUDGET	External	Full-Time	Entry-Level	74893.0	95208.0	Annual	06/03/2024
637308	DEPT OF DESIGN & CONSTRUCTION	Internal	Full-Time	Experienced (non-manager)	78745.0	128750.0	Annual	06/12/2024
634315	HRA/DEPT OF SOCIAL SERVICES	Internal	Full-Time	Experienced (non-manager)	108071.0	124282.0	Annual	05/07/2024
639582	POLICE DEPARTMENT	External	Full-Time	Entry-Level	54473.0	77971.0	Annual	08/05/2024
623221	HRA/DEPT OF SOCIAL SERVICES	Internal	Full-Time	Experienced (non-manager)	66430.0	76394.0	Annual	01/12/2024
632972	DEPT OF HEALTH/MENTAL HYGIENE	External	Full-Time	Experienced (non-manager)	75000.0	77250.0	Annual	04/10/2024
636166	DEPT OF DESIGN & CONSTRUCTION	Internal	Full-Time	Manager	70940.0	144066.0	Annual	05/22/2024
552754	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Experienced (non-manager)	51413.0	62260.0	Annual	10/14/2022
636083	LAW DEPARTMENT	External	Full-Time	Experienced (non-manager)	82891.0	123699.0	Annual	05/16/2024
640557	BRONX DISTRICT ATTORNEY	External	Full-Time	Entry-Level	85000.0	244820.0	Annual	07/08/2024
601128	OFFICE OF THE COMPTROLLER	External	Full-Time	Experienced (non-manager)	58000.0	63000.0	Annual	08/28/2023
630929	FIRE DEPARTMENT	Internal	Full-Time	Experienced (non-manager)	87003.0	117541.0	Annual	08/06/2024
607221	DEPT OF CITYWIDE ADMIN SVCS	Internal	Full-Time	Manager	90000.0	115000.0	Annual	07/22/2024
558888	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Manager	64922.0	151469.0	Annual	11/01/2022
625226	LAW DEPARTMENT	External	Full-Time	Experienced (non-manager)	94715.0	136260.0	Annual	01/31/2024
636000	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Manager	88437.0	228190.0	Annual	05/22/2024
585490	DEPT OF DESIGN & CONSTRUCTION	External	Full-Time	Experienced (non-manager)	51535.0	59265.0	Annual	05/11/2023
645435	DISTRICT ATTORNEY RICHMOND COU	External	Full-Time	Experienced (non-manager)	65000.0	75000.0	Annual	08/06/2024
573120	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Manager	68962.0	68962.0	Annual	03/24/2023
632474	MAYORS OFFICE OF CONTRACT SVCS	Internal	Full-Time	Student	17.0	18.0	Hourly	05/28/2024
606516	DEPARTMENT OF CORRECTION	Internal	Full-Time	Experienced (non-manager)	75000.0	130000.0	Annual	09/21/2023
609088	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Manager	80931.0	208826.0	Annual	10/06/2023
582550	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Experienced (non-manager)	85371.0	109990.0	Annual	04/23/2023
637698	DEPT OF HEALTH/MENTAL HYGIENE	Internal	Full-Time	Experienced (non-manager)	105746.0	150000.0	Annual	07/10/2024
575061	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Experienced (non-manager)	56041.0	75318.0	Annual	03/24/2023
568289	DEPARTMENT OF TRANSPORTATION	External	Full-Time	Entry-Level	51413.0	62260.0	Annual	01/10/2023
626750	DEPT OF DESIGN & CONSTRUCTION	External	Full-Time	Experienced (non-manager)	62370.0	71726.0	Annual	02/16/2024
640267	CONSUMER AND WORKER PROTECTION	External	Full-Time	Experienced (non-manager)	66066.0	104500.0	Annual	07/05/2024
622153	CAMPAIGN FINANCE BOARD	Internal	Full-Time	Experienced (non-manager)	70000.0	85000.0	Annual	01/08/2024
583086	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Experienced (non-manager)	81951.0	102136.0	Annual	04/23/2023
569421	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Experienced (non-manager)	75504.0	94761.0	Annual	02/02/2023
645000	NYC HOUSING AUTHORITY	External	Full-Time	Experienced (non-manager)	67765.0	104829.0	Annual	08/08/2024
627649	HRA/DEPT OF SOCIAL SERVICES	External	Full-Time	Experienced (non-manager)	64137.0	73758.0	Annual	02/22/2024
642644	NYC HOUSING AUTHORITY	Internal	Full-Time	Entry-Level	36006.0	50569.0	Annual	07/26/2024
634214	DEPT OF HEALTH/MENTAL HYGIENE	External	Full-Time	Experienced (non-manager)	59116.0	71195.0	Annual	04/24/2024
568087	DEPT OF DESIGN & CONSTRUCTION	Internal	Full-Time	Experienced (non-manager)	57078.0	77921.0	Annual	05/16/2023
639643	HRA/DEPT OF SOCIAL SERVICES	External	Full-Time	Experienced (non-manager)	57976.0	66672.0	Annual	06/28/2024
615102	HRA/DEPT OF SOCIAL SERVICES	External	Full-Time	Experienced (non-manager)	41248.0	47435.0	Annual	11/06/2023
588112	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Entry-Level	281.68	327.76	Daily	06/15/2023
637256	NYC HOUSING AUTHORITY	Internal	Full-Time	Experienced (non-manager)	43728.0	68645.0	Annual	08/12/2024
631776	DEPARTMENT OF TRANSPORTATION	External	Full-Time	Manager	125000.0	200000.0	Annual	03/30/2024
631318	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Experienced (non-manager)	83189.0	83189.0	Annual	04/02/2024
583088	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Experienced (non-manager)	45193.0	77500.0	Annual	04/23/2023
627621	DEPT OF DESIGN & CONSTRUCTION	External	Full-Time	Manager	70940.0	144066.0	Annual	02/27/2024
643439	DEPARTMENT OF CORRECTION	Internal	Full-Time	Experienced (non-manager)	65000.0	75000.0	Annual	07/24/2024
520114	TECHNOLOGY & INNOVATION	Internal	Full-Time	Experienced (non-manager)	98901.0	122000.0	Annual	03/07/2022
642887	DEPT OF HEALTH/MENTAL HYGIENE	Internal	Full-Time	Experienced (non-manager)	35252.0	48820.0	Annual	07/24/2024
599670	DEPARTMENT OF TRANSPORTATION	External	Full-Time	Experienced (non-manager)	24.8106	39.6158	Hourly	08/24/2023
518043	ADMIN FOR CHILDREN'S SVCS	Internal	Full-Time	Experienced (non-manager)	86096.0	104372.0	Annual	06/30/2022
545805	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Manager	57078.0	85646.0	Annual	08/22/2022
632632	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Manager	78721.0	197348.0	Annual	04/15/2024
632909	DEPARTMENT OF TRANSPORTATION	External	Full-Time	Experienced (non-manager)	69090.0	105477.0	Annual	04/10/2024
635318	DEPARTMENT FOR THE AGING	External	Full-Time	Experienced (non-manager)	64137.0	73758.0	Annual	05/31/2024
573387	NYC HOUSING AUTHORITY	Internal	Full-Time	Experienced (non-manager)	35.0	35.0	Hourly	02/13/2023
610616	DEPT OF HEALTH/MENTAL HYGIENE	Internal	Full-Time	Experienced (non-manager)	55816.0	72033.0	Annual	10/12/2023
639388	DEPARTMENT OF CORRECTION	External	Full-Time	Executive	225000.0	225000.0	Annual	06/25/2024
643156	HOUSING PRESERVATION & DVLPMNT	Internal	Full-Time	Experienced (non-manager)	74041.0	85147.0	Annual	07/25/2024
614914	HRA/DEPT OF SOCIAL SERVICES	External	Full-Time	Experienced (non-manager)	58695.0	67499.0	Annual	11/03/2023
644752	NYC POLICE PENSION FUND	Internal	Full-Time	Entry-Level	33873.0	41064.0	Annual	08/06/2024
644752	NYC POLICE PENSION FUND	Internal	Full-Time	Entry-Level	33873.0	41064.0	Annual	08/06/2024
631318	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Experienced (non-manager)	83189.0	83189.0	Annual	04/02/2024
595772	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Experienced (non-manager)	82506.0	103548.0	Annual	08/13/2023
639535	HOUSING PRESERVATION & DVLPMNT	Internal	Full-Time	Experienced (non-manager)	83733.0	96293.0	Annual	06/27/2024
638224	DEPT OF HEALTH/MENTAL HYGIENE	External	Full-Time	Experienced (non-manager)	51528.0	59257.0	Annual	06/13/2024
637471	HRA/DEPT OF SOCIAL SERVICES	Internal	Full-Time	Experienced (non-manager)	58684.0	74406.0	Annual	05/31/2024
639406	NYC HOUSING AUTHORITY	Internal	Full-Time	Experienced (non-manager)	100000.0	160000.0	Annual	07/15/2024
609630	DEPT OF DESIGN & CONSTRUCTION	Internal	Full-Time	Experienced (non-manager)	56181.0	64608.0	Annual	10/05/2023
639185	CONSUMER AND WORKER PROTECTION	External	Full-Time	Experienced (non-manager)	45040.0	52242.0	Annual	06/25/2024
635165	DEPT OF HEALTH/MENTAL HYGIENE	External	Full-Time	Experienced (non-manager)	68900.0	68900.0	Annual	05/10/2024
531064	DEPT OF HEALTH/MENTAL HYGIENE	External	Part-Time	Experienced (non-manager)	82.23	88.13	Daily	05/05/2022
631849	DEPT OF HEALTH/MENTAL HYGIENE	Internal	Full-Time	Experienced (non-manager)	555.84	555.84	Daily	03/28/2024
606419	DEPARTMENT OF TRANSPORTATION	Internal	Full-Time	Experienced (non-manager)	94651.0	139948.0	Annual	02/02/2024
643829	HOUSING PRESERVATION & DVLPMNT	Internal	Full-Time	Experienced (non-manager)	74781.0	74781.0	Annual	07/25/2024
506854	DEPARTMENT OF TRANSPORTATION	Internal	Full-Time	Experienced (non-manager)	60718.0	90773.0	Annual	12/03/2021
631079	DEPT OF HEALTH/MENTAL HYGIENE	External	Part-Time	Experienced (non-manager)	82.23	88.13	Daily	03/26/2024
631294	TAXI & LIMOUSINE COMMISSION	External	Part-Time	Student	15.5	16.0	Hourly	03/21/2024
618028	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Manager	72038.0	192152.0	Annual	01/02/2024
645999	HRA/DEPT OF SOCIAL SERVICES	External	Full-Time	Experienced (non-manager)	74781.0	85998.0	Annual	08/09/2024
624793	DEPT OF RECORDS & INFO SERVICE	External	Full-Time	Experienced (non-manager)	58700.0	115854.0	Annual	04/25/2024
643109	DEPT OF DESIGN & CONSTRUCTION	External	Full-Time	Experienced (non-manager)	81571.0	93807.0	Annual	07/29/2024
635307	DEPARTMENT OF CITY PLANNING	External	Full-Time	Experienced (non-manager)	71255.0	81943.0	Annual	05/08/2024
591481	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Entry-Level	35.21	40.97	Hourly	08/24/2023
642513	NYC HOUSING AUTHORITY	External	Full-Time	Experienced (non-manager)	61899.0	88326.0	Annual	07/29/2024
638484	DEPT OF HEALTH/MENTAL HYGIENE	External	Full-Time	Experienced (non-manager)	63962.0	75000.0	Annual	07/05/2024
633020	DEPT OF ENVIRONMENT PROTECTION	Internal	Full-Time	Entry-Level	47437.0	68273.0	Annual	04/29/2024
635611	TAXI & LIMOUSINE COMMISSION	Internal	Full-Time	Manager	100000.0	142000.0	Annual	05/08/2024
605039	DEPARTMENT OF INVESTIGATION	External	Full-Time	Experienced (non-manager)	85000.0	96000.0	Annual	09/15/2023
619455	HRA/DEPT OF SOCIAL SERVICES	External	Full-Time	Experienced (non-manager)	59116.0	91768.0	Annual	03/06/2024
638394	TAXI & LIMOUSINE COMMISSION	External	Full-Time	Manager	155000.0	194000.0	Annual	06/13/2024
637900	NYC HOUSING AUTHORITY	Internal	Full-Time	Experienced (non-manager)	75000.0	180000.0	Annual	06/14/2024
622056	DEPT OF ENVIRONMENT PROTECTION	External	Full-Time	Experienced (non-manager)	57040.0	80317.0	Annual	01/22/2024
